Bloco ;Bairro;Região;Data;Data Relativa;Concentração;Desfile;Final;Local da Concentraçao;Percurso;Público Estimado;Ano do primeiro desfile;
Xodó da Piedade;Piedade;Zona Norte 2;07/01/2018;Domingo - 5 semanas antes do Carnaval;16:00:00;18:00:00;22:00:00;Rua Mario Carpenter, Esquina com Angelina ;PARADO;1.500;1972;
Bloco do Limão;Jardim América;Zona Norte 2;13/01/2018;Sábado - 4 semanas antes do Carnaval;16:00:00;18:00:00;22:00:00;Praça Rivadávia C Maia;Parado;800;2010;
Seu Kuka é Eu do Grajaú;Grajaú;Tijuca e Adj;13/01/2018;Sábado – 4 semanas antes do Carnaval;16:00:00;16:00:00;22:00:00;Largo Maria Martha Ward;Parado;1.200;2008;
Unidos do Rego Barros;Santo Cristo;Centro;13/01/2018;Terça de Carnaval;16:00:00;17:00:00;21:00:00;Rua Rego Barros;Rua Rego Barros até o fim da rua Nabuco de Freitas, e termina na Rua Rego Barros;400;2012;
Vou Treinar e Volto Já;Tijuca ;Tijuca e Adj;13/01/2018;Sábado - 4 semanas antes do Carnaval;15:00:00;17:00:00;19:00:00;Rua Martins Pena;Rua Martins Pena, Rua Afonso Pena, Rua Haddock Lobo, Rua Campos Sales, Rua Martins Pena;500;2010;
Banda da Zulmira;Maracanã ;Tijuca e Adj;14/01/2018;Domingo - 4 semanas antes do Carnaval;14:00:00;14:00:00;20:00:00;Praça Niterói - Rua Dona Zulmira e Rua Felipe Camarão;Parado  ;400;2014;
Xodó da Piedade;Piedade;Zona Norte 2;14/01/2018;Domingo - 4 semanas antes do Carnaval;16:00:00;17:00:00;22:00:00;Rua Mario Carpenter, Esquina com Angelina ;PARADO;1.500;1972;
Banda de Ipanema - Ensaio;Ipanema ;Zona Sul;20/01/2018;Sábado - 3 semanas antes do Carnaval;15:00:00;17:30:00;21:00:00;Praca General Osório;Praça General Osório - Parado;5.000;1965;
Bloco Carnavalesco Sempre Vila;Vila isabel ;Tijuca e Adj;20/01/2018;Sábado – 3 semana antes do Carnaval;14:00:00;16:00:00;20:00:00;Rua Sousa Franco;Início na Rua Sousa Franco com a esquina Torres Homem, Término na Rua Sousa Franco com 28 de Setembro ;1.000;2018;
Bloco do Limão;Jardim América;Zona Norte 2;20/01/2018;Sábado - 3 semanas antes do Carnaval;16:00:00;18:00:00;22:00:00;Praça Rivadávia C Maia;Parado;800;2010;
Chame Gente ;São Conrado ;Zona Sul;20/01/2018;Domingo - 2 semanas antes do Carnaval;08:00:00;10:00:00;14:00:00;Av. Prefeito Mendes de Moraes, esquina com Rua Herbert Moses;Av. Prefeito Mendes de Moraes, da Rua Herbert Moses até o Hotel Golden Tulip;20.000;2007;
É Pequeno mas não amolece;Recreio dos Bandeirantes;Barra/JPA;20/01/2018;Sábado - 3 semanas antes do Carnaval;14:00:00;16:00:00;20:00:00;Praça Professor Henrique Niremberg;Parado;500;2009;
Larga a Onça, Alfredo! - Ensaio;Laranjeiras ;Zona Sul;20/01/2018;Sábado - 3 semanas antes do Carnaval;15:00:00;18:00:00;20:00:00;Praça São Salvador;Parado;2.000;2008;
"Os ""20"" de Ouro do Mestre Odilon";Ilha do Governador;Zona Norte 3;20/01/2018;Sábado - 3 semanas antes do Carnaval;16:00:00;16:00:00;20:00:00;Estrada do Rio Jequiá (Posto Necker Pinto);Segue pela Estrada Rio Jequiá, Rua Maldonado, e Pça Iaiá Garcia;1.500;2017;
Põe na Quentinha?;Centro;Centro;20/01/2018;Sábado – 13semanas antes do Carnaval;13:00:00;14:00:00;19:00:00;Rua Conselheiro Saraiva, em frente ao nº 39;Parado  ;1.500;2015;
Seu Kuka é Eu do Grajaú;Grajaú;Tijuca e Adj;20/01/2018;Sábado – 3 semanas antes do Carnaval;16:00:00;16:00:00;22:00:00;Largo Maria Martha Ward;Parado;1.200;2008;
TPM - Turma da Paz de Madureira;Madureira;Zona Norte 1;20/01/2018;Sábado - 2 semanas antes do Carnaval;13:30:00;17:30:00;19:00:00;Em frente ao Império Serrano;Segue a Estrada do Portela até antes do Shopping Madureira.;500;2013;
Banda do Jiló;Tijuca ;Tijuca e Adj;21/01/2018;Domingo - 3 semanas antes do Carnaval;14:00:00;14:00:00;20:00:00;Rua Pinto de Figueiredo, nº 26;Parado;1.000;2004;
Divas do Recreio;Recreio dos Bandeirantes;Barra/JPA;21/01/2018;Domingo - 2 semanas antes do Carnaval;15:00:00;16:30:00;21:00:00;Quiosque 10 e Meio ;Parado;3.000;2014;
Só Caminha;Botafogo ;Zona Sul;21/01/2018;Domingo - 3 semanas antes do Carnaval;12:00:00;14:00:00;18:00:00;Largo dos Leões;Largo dos Leões, Rua Marques, Rua Capistrano de Abreu, Rua Conde de Irajá e Largo dos Leões;2.000;2010;
Xodó da Piedade;Piedade;Zona Norte 2;21/01/2018;Domingo - 3 semanas antes do Carnaval;16:00:00;17:00:00;22:00:00;Rua Mario Carpenter, Esquina com Angelina ;PARADO;1.500;1972;
O Fervo;Estácio;Centro;23/01/2018;Terça-feira - 2 semanas antes do Carnaval;14:00:00;18:00:00;20:00:00;Rua Maia de Lacerda;Rua Maia de Lacerda, da esquina da Rua Estácio de Sá até a Rua Sampaio Ferraz e termina na rua Quintino do Vale;500;2016;
Discípulos do Oswaldo;Manguinhos;Zona Norte 2;24/01/2018;Quarta-feira 2 semanas antes do Carnaval;17:00:00;20:00:00;22:00:00;Rua Rosa da Fonseca;Rua Rosa da Fonseca Rua Castro Tavares, Rua Sizenando Nabuco e Rua Rosa da Fonseca;1.000;2002;
Vestiu uma Camisinha Listrada e Saiu por Aí;Centro;Centro;26/01/2018;Sexta-feira - 2 semanas antes do Carnaval;16:00:00;19:00:00;22:00:00;Buraco do Lume;Parado ;2.000;1992;
Amigos da Esquina;Engenho de Dentro;Zona Norte 2;27/01/2018;Sábado - 2 semanas antes do Carnaval;15:00:00;15:00:00;21:00:00;Rua 2 de Fevereiro 192;Parado;1.000;2004;
Areia;Leblon ;Zona Sul;27/01/2018;Sábado - 2 semana antes do Carnaval;09:00:00;11:00:00;15:00:00;Rua Dias Ferreira, entre a Avenida Bartolomeu Mitre e a Rua General Urquiza;Parado;3.500;2003;
Banda de Ipanema;Ipanema ;Zona Sul;27/01/2018;Sábado - 2 semanas antes do Carnaval;15:00:00;17:30:00;21:00:00;Rua Jangadeiros, esquina com Gomes Carneiro;Rua Gomes Carneiro, Avenida Vieira Souto, Rua Joana Angélica e Rua Visconde de Pirajá, até a Praça General Osório;50.000;1965;
Bloco Carnavalesco Bunda Rachada ;Ramos;Zona Norte 3;27/01/2018;sábado - 2 semanas antes do carnaval;16:00:00;18:00:00;20:00:00;Rua romero zander , N. 363;rua romero zander n. 363, Av. dos campeoes n.569;2000;2001;
Bloco do Cocoloko;Barra da Tijuca;Barra/JPA;27/01/2018;Sexta-feira de Carnaval;10:00:00;10:00:00;16:00:00;Lúcio Costa (Em frente ao Ocean Front 2.930);Parado;15.000;2016;
Bloco do Limão;Jardim América;Zona Norte 2;27/01/2018;Sábado - 2 semana antes do Carnaval;16:00:00;18:00:00;22:00:00;Praça Rivadávia C Maia;Parado;800;2010;
Cacique de Higienópolis;Higienópolis;Zona Norte 2;27/01/2018;Sábado - 2 semanas antes do Carnaval;16:00:00;17:00:00;22:00:00;Rua Tamiarana, esquina com Rua Darke de Mattos;Parado;500;2012;
Cadê Meu Beijo?;Ilha do Governador;Zona Norte 3;27/01/2018;Sábado - 2 semanas antes do Carnaval;15:00:00;16:00:00;21:00:00;Rua Luis Sá – 205;Parado;2.000;2014;
Calma Amor;Irajá;Zona Norte 1;27/01/2018;Sábado - 2 semanas antes do Carnaval;16:00:00;16:00:00;22:00:00;Praça Ferreira Souto;Parado;5.000;2010;
Carmelitas (ENSAIO);Centro;Centro;27/01/2018;Sabado - 2 semanas antes do Carnaval;16:00:00;16:00:00;22:00:00;Praça Tiradentes;PARADO;800;1990;
Cordão do Prata Preta;Gamboa;Centro;27/01/2018;Sábado - 2 semanas antes do Carnaval;17:00:00;17:00:00;22:00:00;Praça Coronel Assumpção (Praça da Harmonia);Parado;800;2005;
Deixa a Língua no Varal;Tijuca ;Tijuca e Adj;27/01/2018;Sábado - 2 semanas antes do Carnaval;16:00:00;18:00:00;22:00:00;Rua Barão de Mesquita, 136;Rua Barão de Mesquita, Rua Deputado Soares Filho, Praça Hilda, Rua Pareto, Rua Almirante Cochrane, Rua Santo Afonso, Rua Pinto de Figueiredo, Av. Maracanã e Rua Barão de Mesquita 136;500;2008;
Desliga da Justiça;Gávea ;Zona Sul;27/01/2018;Sábado - 2 semanas antes do Carnaval;08:00:00;10:00:00;14:00:00;Praça Santos Dumont;Parado;5.000;2010;
É Pequeno mas não amolece;Recreio dos Bandeirantes;Barra/JPA;27/01/2018;Sábado - 1 semana antes do Carnaval;14:00:00;16:00:00;20:00:00;Praça Professor Henrique Niremberg;Parado;500;2009;
GB Bloco;Laranjeiras ;Zona Sul;27/01/2018;Sábado - 2 semanas antes do Carnaval;13:00:00;15:00:00;19:00:00;Praça Jardim Laranjeiras - Rua General Glicério;Rua General Glicério, Rua General Cristóvão Barcelos, retornando à Praça Jardim Laranjeiras;5.000;2007;
Imprensa Que Eu Gamo;Laranjeiras ;Zona Sul;27/01/2018;Sábado - 2 semanas antes do Carnaval;13:00:00;15:00:00;19:00:00;Rua Gago Coutinho, em frente ao Mercadinho São José;Rua Gago Coutinho, Largo do Machado, Rua das Laranjeiras e Rua Gago Coutinho;15.000;1996;
Liga de Blocos e Bandas da Zona Portuária;Saúde;Centro;27/01/2018;Sábado - 2 semanas antes do Carnaval;10:00:00;12:00:00;16:00:00;Praça Coronel Assunção (Praça da Harmonia);Rua Sacadura Cabral, da Praça da Harmonia até o Largo São Francisco da Prainha;1.500;2008;
Nem Muda Nem Sai de Cima;Tijuca ;Tijuca e Adj;27/01/2018;Sábado - 2 semanas antes do Carnaval;16:00:00;19:00:00;22:00:00;Rua Garibaldi, esquina com Avenida Maracanã;Rua Garibaldi, Rua Pinto Guedes, Praça Xavier de Brito, Rua Otávio Kelly, Rua Conde de Bonfim e Rua Garibaldi, voltando ao local de concentração;1.000;1995;
Panela Preta de Curicica;Curicica;Barra/JPA;27/01/2018;Sábado - 2 semanas antes do Carnaval;14:00:00;16:00:00;20:00:00;Rua João Bruno Lobo, nº 38;Rua João Bruno Lobo, nº 38 - Parado;1.000;2011;
Pra que Juízo ;Vila da Penha;Zona Norte 1 ;27/01/2018;Sábado - 2 semanas antes do Carnaval;16:00:00;18:00:00;22:00:00;Largo do Bicão ;Av. Braz de Pina (Altura do Mc Donalds) seguindo até a Rua Oliveira Belo ;2.000;2018;
Primeiro Amor;São Conrado ;Barra/JPA;27/01/2018;Sábado - 2 semanas antes do Carnaval;08:00:00;10:00:00;13:00:00;Em frente ao Golfe Clube ;Saindo do Golfe Clube até o final;6.000;2013;
Se Concentra mas Não Sai e Caldeirão;Campo Grande;Zona Oeste;27/01/2018;Sábado - 2 semanas antes do Carnaval;16:00:00;16:00:00;22:00:00;Rua Ministro Carlos Medeiros;Parado;500;2010;
Se Deixar Eu Boto;Pavuna;Zona Norte 1;27/01/2018;Sábado - 2 semana antes do Carnaval;17:00:00;20:00:00;22:00:00;Rua Sargento Manoel Chagas com Rua Capitão Gouveia ;Parado;1.200;2012;
Seu Kuka é Eu do Grajaú;Grajaú;Tijuca e Adj;27/01/2018;Sábado – 2 semanas antes do Carnaval;16:00:00;16:00:00;22:00:00;Largo Maria Martha Ward;Parado;1.200;2008;
Spanta Neném;Lagoa ;Zona Sul;27/01/2018;Sábado - 2 semanas antes do Carnaval;10:00:00;13:00:00;16:00:00;Corte do Cantagalo;Ciclovia da Lagoa, do Corte do Cantagalo até o Clube Caiçaras;5.000;2003;
Vira-Lata;São Conrado ;Zona Sul;27/01/2018;Sábado - 2 semanas antes do Carnaval;13:00:00;14:00:00;18:00:00;Em frente ao Golfe Clube ;Saindo do Golfe Clube até o final;5.000;2009;
Alegria Sem Ressaca;Copacabana ;Zona Sul;28/01/2018;Domingo - 2 semanas antes do Carnaval;09:00:00;09:00:00;12:00:00;Av. Atlântica, esquina com República do Perú;Parado ;500;2007;
Banda Amigos da Barra;Barra da Tijuca;Barra/JPA;28/01/2018;Domingo - 2 semanas antes do Carnaval;13:00:00;15:00:00;18:00:00;Av. Lucio Costa Barramares;Segue na Av. Lucio Costa até a altura da Praça do Ó;5.000;2017;
Banda da Saens Pena;Tijuca ;Tijuca e Adj;28/01/2018;Domingo - 2 semanas antes do Carnaval;15:00:00;15:00:00;21:00:00;Praça Saens Pena, 65;Parado;200;2005;
Bigodinho Esticado;Méier;Zona Norte 2;28/01/2018;Domingo - 2 semanas antes do Carnaval;15:00:00;17:00:00;19:00:00;Rua Adriano 300;Parado;400;2010;
Bloco do Demorô;Cidade Nova;Centro;28/01/2018;Domingo - 2 semana antes do Carnaval;14:00:00;14:00:00;20:00:00;Praça Coronel Castelo Branco;Parado;300;2016;
Bloco dos Gambás ;Rio Comprido;Centro;28/01/2018;Domingo – 2 semanas antes do Carnaval;14:00:00;16:00:00;20:00:00;Rua Aristides Lobo 217 ;Rua Aristides Lobo até a esquina da Rua Maia de Lacerda, Retorno Aristides Lobo 217;1.000;2013;
Calma, Calma Sua Piranha;Botafogo ;Zona Sul;28/01/2018;Domingo - 2 semanas antes do Carnaval;08:00:00;10:00:00;14:00:00;Rua Visconde de Caravelas, esquina com Rua Real Grandeza;Rua Visconde de Caravelas, da Rua Real Grandeza até a Rua Capitão Salomão;500;2006;
Chinelo de Dedo;Centro;Centro;28/01/2018;Domingo - 2 semanas antes do Carnaval;16:00:00;17:00:00;22:00:00;Rua do Mercado 23;Parado;1.000;2015;
Coração das Meninas;Saúde;Centro;28/01/2018;Domingo - 2 semanas antes do Carnaval;16:00:00;18:00:00;22:00:00;Largo da Prainha;Rua Sacadura Cabral ao Largo da Prainha até Praça da Harmonia;500;1964;
Fala Meu Louro;Santo Cristo;Centro;28/01/2018;Sábado - 2 semanas antes do Carnaval;14:00:00;16:00:00;20:00:00;Rua Waldemar Dutra, 19;Rua Waldemar Dutra, Praça do Santo Cristo, Rua da América, Rua Barão da Gamboa, Rua Cardoso Marinho, Rua Santo Cristo e Rua Waldemar Dutra.;800;1938;
Foliões do Rio;Ilha do Governador;Zona Norte 3;28/01/2018;Domingo - 2 semanas antes do Carnaval;12:00:00;14:00:00;18:00:00;Praça Jerusalém;Av. Alves Câmara Junior (Praia da Bica), da Praça Jerusalém até o nº 819 (Quiosque 22);3.500;2014;
Independente do Morro do Pinto;Santo Cristo;Centro;28/01/2018;Domingo - 2 semanas antes do Carnaval;14:00:00;16:00:00;20:00:00;Rua Farnese, em frente ao nº 83;Rua Farnese, Rua Saldanha Marinho, Rua Mariano Procópio,  Rua Sara, Rua Mont Alverne  ;500;1973;
Me Esquece;Jardim Botânico ;Zona Sul;28/01/2018;Domingo - 2 semanas antes do Carnaval;09:00:00;10:00:00;14:00:00;Rua Jardim Botânico, esquina com Rua Pacheco Leão;Rua Jardim Botânico, da Rua Pacheco Leão até a Praça Santos Dumont;5.000;2004;
MultiBloco (Ensaio);Lapa;Centro;28/01/2018;Domingo - 2 semanas antes do Carnaval;15:30:00;16:00:00;18:30:00;Rua dos Inválidos;Parado;250;2009;
Pra Se Apaixonar;Quintino Bocaiúva;Zona Norte 1;28/01/2018;Domingo - 2 semanas antes do Carnaval;16:00:00;19:00:00;22:00:00;Rua Vital, esquina com Rua Nogueira;Parado;4.000;2013;
Se Cair Eu Como;Ilha do Governador;Zona Norte 3;28/01/2018;Domingo - 2 semanas antes do Carnaval;10:00:00;11:00:00;16:00:00;Praça da Freguesia;Orla da Praia da Guanabara até a Praça do Bananal (Pedra da Onça);3.000;2011;
Tudo Nosso Tamo Junto;Copacabana ;Zona Sul;28/01/2018;Domingo - 2 semanas antes do Carnaval;13:00:00;13:00:00;19:00:00;Rua Ronald de Carvalho 161;Parado;300;2016;
Volta, Alice;Laranjeiras ;Zona Sul;28/01/2018;Domingo - 2 semanas antes do Carnaval;08:00:00;09:00:00;13:00:00;Rua Alice, nº 1;Rua Alice, do nº 1 ao nº 550 - esquina com Mario Portela;5.000;2005;
Xodó da Piedade;Piedade;Zona Norte 2;28/01/2018;Domingo - 2 semanas antes do Carnaval;16:00:00;17:00:00;22:00:00;Rua Mario Carpenter, Esquina com Angelina ;PARADO;1.500;1972;
Discípulos do Oswaldo;Manguinhos;Zona Norte 2;31/01/2018;Quarta-feira 1 semana antes do Carnaval;17:00:00;20:00:00;22:00:00;Rua Rosa da Fonseca;Rua Rosa da Fonseca Rua Castro Tavares, Rua Sizenando Nabuco e Rua Rosa da Fonseca;1.000;2002;
Batuke Nuclear;Centro;Centro;01/02/2018;Quinta-feira - 1 semana antes do Carnaval;18:00:00;18:00:00;22:00:00;Rua da Candelária, 65, esquina com Teófilo Otoni;Parado;500;2007;
Inova que eu Gosto;Flamengo ;Zona Sul;01/02/2018;Quinta-feira 1 semanas antes do Carnaval;17:00:00;18:00:00;22:00:00;Rua Barão do Flamengo, esquina com Praia do Flamengo;Rua Barão do Flamengo, da esquina com Praia do Flamengo até a Rua Senador Vergueiro;2.000;2008;
Badalo de Santa Teresa;Santa Teresa;Centro;02/02/2018;Sexta-feira - 1 semana antes do Carnaval;16:00:00;16:00:00;22:00:00;Largo das Neves;Parado ;1.000;1972;
É Pequeno, mas vai Crescer;Centro;Centro;02/02/2018;Sexta-feira - 1 semana antes do Carnaval;17:30:00;19:00:00;22:00:00;Rua Alexandre Mackenzie,  esquina com Rua Senador Pompeu;Parado ;400;2005;
Ih, É Carnaval!;Urca ;Zona Sul;02/02/2018;Sexta-feira - 1 semana antes do Carnaval;18:00:00;20:00:00;22:00:00;Av. pasteur 250;Segue pela Av. Pasteur anumero 250 até a Praça Medalha Milagrosa ;5.000;2003;
Molha o Pé das Oito;Centro;Centro;02/02/2018;Sexta-feira - 1 semana antes do Carnaval;18:00:00;20:00:00;22:00:00;Buraco do Lume;Rua São José, Rua Rodrigo Solva, Rua da Assembléia, Rua do Carmo e Rua São José ;500;2010;
Ninho dos Cobras ;Centro;Centro;02/02/2018;Sexta-feira - 1 semana antes do Carnaval;18:00:00;19:30:00;22:00:00;Largo São Francisco da Prainha;PARADO;800;2013;
Aconteceu;Santa Teresa;Centro;03/02/2018;Sábado - 1 semana antes do Carnaval;16:00:00;18:00:00;22:00:00;Rua Aurea ;Parado  ;1.000;2000;
Alegria do Sapê;Bento Ribeiro;Zona Norte 1;03/02/2018;Sábado - 1 semana antes do Carnaval;13:00:00;15:00:00;19:00:00;Rua Picui;Rua Picui 895  até o número 500, Largo do Sapê e volta;800;2016;
Amigos da Esquina;Engenho de Dentro;Zona Norte 2;03/02/2018;Sábado - 1 semana antes do Carnaval;18:00:00;20:00:00;22:00:00;Rua Pernambuco 886;Rua Pernambuco, Rua Barbacena e Rua Pernambuco;1.000;2004;
Amigos da Sueca da Pedro Américo;Catete ;Zona Sul;03/02/2018;Sábado - 1 semana antes do Carnaval;17:00:00;18:00:00;21:30:00;Rua Pedro Américo, nº 371;Parado;1.000;2010;
Aquilah;Madureira;Zona norte 1;03/02/2018;Sábado - 1 semana antes do Carnaval;15:00:00;16:30:00;19:30:00;Parque de Madureira portão 03;Parque de Madureira portão 03, saindo pela pista até o portão 02 e retornando pelo mesmo local;450;2012;
Banda Bandida;Copacabana ;Zona Sul;03/02/2018;Sábado - 1 semana antes do Carnaval;14:00:00;16:00:00;20:00:00;Rua Rodolfo Dantas;Rua Rodolfo Dantas, Rua Barata Ribeiro, Rua Hilário de Gouveia, Avenida Nossa Senhora de Copacabana e volta Rua Rodolfo Dantas;2.000;1977;
Banda da Penha ;Penha;Zona Norte 1;03/02/2018;Sábado - 1 semana antes do Carnaval;16:00:00;20:00:00;22:00:00;Largo da Rua Couto ;Parado;1.000;2014;
Banda de Vila Isabel;Vila isabel ;Tijuca e Adj;03/02/2018;Sábado - 1 semana antes do Carnaval;16:00:00;18:00:00;22:00:00;Praça 7;Barão do São Francisco, Teodoro da Silva, Gonzaga Bastos, 28 de Setembro pista de direita até Visconde de abaeté;3.000;1977;
Banda do Pechincha;Pechincha;Barra/JPA;03/02/2018;Sábado - 1 semana antes do Carnaval;12:00:00;14:00:00;18:00:00;Largo do Pechincha;Estrada do Pau Ferro, do nº 15 ao nº 240;10.000;2003;
Banda do Tijuca Tênis Clube;Tijuca ;Tijuca e Adj;03/02/2018;Sábado - 1 semana antes do Carnaval;17:00:00;19:00:00;22:00:00;Tijuca Tênis Clube;R. conde do bonfim , R. Pareto, R. santo afonso, R. general Roca, R. conde do bonfim .;1.000;1975;
Banda Haddock;Tijuca ;Tijuca e Adj;03/02/2018;Sábado - 1 semana antes do Carnaval;16:00:00;18:00:00;22:00:00;Rua Afonso Pena, nº 10;Rua Afonso Pena, Rua Haddock Lobo, Rua Campos Sales, Doutor Satamini, São Francisco Xavier, Largo da Segunda-feira, Rua Haddock Lobo e Rua Afonso Pena;2.200;1984;
Batuke de Ciata;Saúde;Centro;03/02/2018;Sábado - 1 semana antes do Carnaval;15:00:00;17:00:00;21:00:00;Praça Coronel Assunção (Praça da Harmonia);Rua Sacadura Cabral, Rua Argemiro Bulcao, Pedra do Sal.;500;2015;
Batuke Imperial ;São Cristóvão;Centro;03/02/2018;Sábado - 1 semana antes do Carnaval;13:00:00;16:00:00;19:00:00;Praça Carmela Dutra ;Praça Carmela Dutra, Rua Gal Almeiro de Moura, Rua Teixeira Junior, Rua São Januário, Rua Gal Argolo, Rua Gal José Cristino, Largo do Viana ;800;2018;
Batuquebato;centro;centro;03/02/2018;Sábado - 1 semana antes do Carnaval;09:00:00;10:00:00;14:00:00;Praça XV;Parado;800;2016;
Blocão da Tijuca;Tijuca ;Tijuca e Adj;03/02/2018;Sábado - 1 semana antes do Carnaval;09:00:00;10:00:00;13:00:00;Praça Saens Pena;PARADO;500;2016;
Bloco Brasil;Leme ;Zona Sul;03/02/2018;Sábado - 1 semana antes do Carnaval;12:00:00;12:00:00;18:00:00;Praça Almirante Julio de Noronha;Praça Almirante Julio de Noronha - Parado;10.000;2007;
Bloco D' Samba ;Recreio dos Bandeirantes;Barra/JPA;03/02/2018;Sábado - 1 semana antes do Carnaval;10:00:00;12:00:00;16:00:00;Posto 10 do Recreio;Posto 10 do Recreio ao Posto 9.;3.000;2016;
Bloco da Ansiedade;Centro;Centro;03/02/2018;Sábado - 1 semana antes do Carnaval;14:00:00;16:00:00;19:00:00;Boulevard Olímpico em frente ao hotpital maternidade Praça XV;;5.000;1997;
Bloco da Familha ;Ilha do Governador;Zona Norte 3;03/02/2018;Sábado - 1 semana antes do Carnaval;16:00:00;17:00:00;21:00:00;Praia da Bica ;Praça Jerusalém seguindo até o Rei do Bacalhau ;2.500;2018;
Bloco da Mamadeira;Botafogo ;Zona Sul;03/02/2018;Sábado - 1 semana antes do Carnaval;16:00:00;16:00:00;19:00:00;Praça Parque General Leandro ;Parado;200;2003;
Bloco da Pracinha;Jardim Botânico ;Zona Sul;03/02/2018;Sábado - 1 semana antes do Carnaval;10:00:00;12:00:00;14:00:00;Praca Pio XI;Parado;500;2006;
